,행정동코드,총생활인구수,10대 생활인구 수,20대 생활인구 수,30대 생활인구 수,40대 생활인구 수,50대 생활인구 수,60대 생활인구 수,65세 이상 생활인구 수,낮시간대 생활인구,퇴근시간 생활인구,21-2,출근시간 생활인구
68,11215750,323892359.5822,23758786.7441,51588278.4729,60094385.4945,49051310.9753,50342120.7505,67452594.71740001,47539862.2537,91976884.9664,37905668.8926,154382523.3499,39627282.3733
69,11215760,270780163.5323,18478717.8919,36850445.3311,45762537.021699995,41475348.151999995,45514016.1031,65906485.5391,46970051.1674,83471979.2652,34770879.8931,119983985.7092,32553318.6648
70,11215770,443506640.9568,38612869.93969999,57844855.986200005,67063449.9303,62471828.999000005,72906860.72029999,115173585.272,81309504.5972,134270239.596,54624228.9721,199162833.7292,55449338.6595
71,11215780,273699717.8858,18515840.4749,55030760.3091,55730733.931099996,40581231.2717,34582213.5755,50098979.2485,35486121.0998,103021066.587,35920284.2915,100680509.8465,34077857.1608
72,11215810,638349868.5598,106999585.2419,68465446.3921,74112314.1031,123090980.824,95576451.15810001,107542038.326,75518720.4927,203898613.546,77927872.0512,274699656.1647,81823726.7979
73,11215820,436295263.4579,34157819.3094,88558251.7065,77124168.7616,67613621.54370001,64840453.908,85837548.1771,59046735.352000006,138867133.7345,54552750.1362,189045257.4519,53830122.1353
74,11215830,371240936.086,29813836.821999997,51447059.007699996,65038485.24030001,59845299.6825,54132851.7322,82143966.5925,57086730.5877,112269281.0639,45599572.3565,165804803.0413,47567279.6243
75,11215840,412792670.4171,41012348.9472,62147574.032,67142842.671,65829397.131699994,61587428.4894,81813037.243,56705826.291999996,130203235.9115,53077996.6781,180015712.9233,49495724.9042
76,11215847,441175766.3586,27464789.3535,92064238.5379,74007720.13820001,66116814.232300006,71274226.2866,91782768.6704,62691635.3365,146102764.2888,65714119.887,175311460.0225,54047422.1603
77,11215850,443511980.4105,34313193.473000005,82980921.4765,84097533.8936,72236291.4795,62995169.9318,81996013.4576,56459204.3812,125521516.9227,52710531.4808,209823997.9331,55455934.0739
78,11215860,375967560.4376,39461964.801,49456762.2578,54777678.6228,62933159.673499994,57112621.1337,84642037.124,59654649.841299996,112761071.4333,45856258.3338,170458127.9649,46892102.7056
79,11215870,536459486.288,57278300.2695,73709780.4129,82716812.395,92717124.5704,83868963.2956,103262243.265,70083882.1126,183924932.4317,72214587.4847,215939794.7095,64380171.6621
80,11230536,696592142.082,36102699.1734,121436599.4598,119109980.1359,108661688.7835,110546035.4827,174471125.7856,125774925.2342,260074394.5014,84891548.3612,260176612.7024,91449586.517
81,11230545,569436983.8365,39025959.246999994,118073379.7745,68406625.7551,71494285.2139,80857640.2947,166724258.1871,127110836.6053,200946908.8843,65746428.1667,229819724.393,72923922.3925
82,11230560,551032535.8155,45183000.0968,98186295.17629999,79542745.9589,81947500.1983,80589632.1139,131331772.84240001,95713485.9836,185783846.2019,72671528.7082,225063960.0045,67513200.9009
83,11230570,293486213.0244,34904106.9718,40859799.252900004,37351729.43,45401628.844,41653038.4723,67097956.5162,48673811.359,94469416.1788,35628966.2559,126560344.838,36827485.7517
84,11230600,405349787.4385,31019651.1307,49992883.1823,69952141.2576,69147160.78999999,58865220.666099995,88012713.5248,61775624.984500006,122182204.6373,47585170.8134,184279985.5694,51302426.4184
85,11230610,396825286.2159,28344570.176200002,44575006.6505,65019414.238,64911234.281399995,63818791.4771,105943839.16170001,75952637.2269,115929873.3612,47942871.1948,184621884.1483,48330657.5116
86,11230650,604580126.8772,35018750.242699996,83085893.6304,116202748.4048,105972698.0383,93931570.71900001,135120847.328,92200621.40079999,195966493.136,74114264.7359,257464092.9691,77035276.0362
87,11230660,485679210.9229,47717017.8636,53979559.617,77179726.68810001,84372506.87799999,71608987.6052,104803599.5826,75364866.59470001,160624440.6482,66479975.8569,201010170.2405,57564624.1773
88,11230705,330231195.3332,20232245.2139,46417943.8278,42042342.5526,44816824.1859,52899409.4159,110153014.2812,83579424.3278,117928423.4848,41120257.4234,129872200.2168,41310314.2082
89,11230710,359384450.3022,33743019.5179,122760582.6455,45438292.846,39126530.6183,37061259.4876,64194372.591,49190049.0354,126251419.8209,43152789.0039,142682008.5887,47298232.8887
90,11230720,293390600.0106,23059045.789,87579415.8523,40991453.2548,35889413.835700005,36819247.083399996,57847586.4008,42590246.3003,94777961.4987,38035509.9942,121681325.6592,38895802.8585
91,11230730,352225286.0789,36634508.0889,82389037.7757,45135928.8355,45954113.1512,46741164.790699996,73884671.95449999,54709814.875,104616579.1134,39474817.3197,161909010.3554,46224879.2904
92,11230740,419221318.9487,44456765.4558,152562019.8278,47332630.2712,45927753.1486,43605482.3161,69562222.8472,51612203.3741,136660840.2486,50520766.8192,178710964.8354,53328747.0455
93,11230750,270784342.2212,27813037.230800003,34016829.1796,35500404.4471,43877796.4286,38753840.589499995,70490678.5449,54319020.8751,73505769.6431,31699339.1028,131647415.3742,33931818.1011
94,11260520,363971060.9518,28044958.638800003,43782840.842,51084147.8839,56896988.2627,63695306.656399995,93992178.5512,66995815.0952,105132026.8729,42783106.4211,171417605.2266,44638322.4312
95,11260540,303023576.5755,23269894.2938,35773309.4613,46397371.16859999,48043149.8663,47030826.3398,79401599.16409999,56955243.8894,88684332.1705,35830451.7286,140431872.9626,38076919.7138
96,11260550,198278153.1212,14938148.7486,22435755.266499996,31956357.7132,32094190.5087,33575065.3711,49637754.7318,34930001.5562,60099251.5513,24802382.2229,88907668.519,24468850.828
97,11260565,485520821.5007,31572114.8862,70963341.68400002,77581276.4076,70391127.5912,87059018.99350001,121167403.0611,85848171.199,143484848.4914,61246473.4581,222218388.037,58571111.5142
98,11260570,342789633.7883,22026428.919699997,42603562.1716,51922850.9216,52094595.1372,56746216.5198,95714437.1057,69208874.91780001,101543465.4287,43855611.6144,156387406.4334,41003150.3118
99,11260575,348990917.7063,26387225.5836,50735559.7641,51858194.5995,53379312.2669,58514196.2345,89033194.1559,64105787.330699995,106823487.5926,43943112.9016,155913421.235,42310895.9771
100,11260580,319100871.5221,29147722.8722,42557133.473299995,50349363.8996,46291848.903400004,50349882.1697,75139604.8727,51610556.410000004,101974969.9218,40783948.4836,135581180.0932,40760773.0235
101,11260590,446304669.8911,20582878.985,83461827.0475,87010907.2688,66092696.1167,73144595.7437,98534335.0223,68465876.2541,147122061.3869,62231962.3621,184767221.7951,52183424.347
102,11260600,295788466.3592,25972807.0759,36470753.524399996,44101297.1041,40367915.1101,44913681.603599995,75854116.0627,55009002.9913,85253194.011,33682721.2126,139479623.1157,37372928.0199
103,11260610,447084804.3624,26691129.4589,57628912.5591,64903936.9468,63728138.260199994,79591014.0809,129137612.9296,93023407.1056,136210782.6663,58767153.4212,197816543.3076,54290324.9673
104,11260620,459851032.8608,42205649.9292,60229058.73549999,66912941.5758,72437420.55860001,68034273.0806,114884621.7518,82604716.62110001,133848258.3417,56589680.0853,212485308.1564,56927786.2774
105,11260630,324350098.7538,22209173.8736,43541978.5426,50999788.959800005,49834811.7849,54220759.0476,82451163.71419999,58913705.8475,97700632.8743,41247171.4753,146281823.1379,39120471.2663
106,11260655,658858125.6342,53093018.826000005,79985863.2871,99372579.1118,100137143.84529999,111428524.70300001,170065239.5506,118934836.6462,216299456.72,84345195.6534,276834623.9737,81378849.2871
107,11260660,214733842.5933,16765415.3813,27150907.075400002,27008197.3271,29910475.7933,38512955.7724,62574035.8826,44566734.9389,61857731.9707,23925474.0725,101750107.9974,27200528.5527
108,11260680,606185968.7747,57649303.2117,66041575.3209,82007063.0474,93630901.5835,95154091.4135,145444844.7771,101297899.1697,185518907.3232,75664077.5771,268719304.2369,76283679.6375
109,11260690,313198181.9004,30805426.9344,34430212.3407,44170670.435499996,45511406.4376,50487073.3777,84771291.8409,61043226.8881,97184085.0837,37287503.9186,139383542.0047,39343050.8934
110,11290525,374027627.4474,36939281.6299,52498707.3229,55833421.208900005,57583294.2738,58347643.502900004,89206210.8342,65099467.54009999,122293798.4023,45473653.9384,158222949.1836,48037225.9231
111,11290555,451806112.6226,46763737.382599995,91814670.9219,70005469.2705,69079854.6919,63686849.8857,85787065.5204,61829328.4701,151887515.5989,61016578.7496,183937328.9926,54964689.2815
112,11290575,445207961.6505,52098678.1835,113326963.6391,65278499.08,61830033.5328,53031790.2024,74545151.3303,54718193.7911,152760914.6336,61652111.8818,177429426.9426,53365508.1925
113,11290580,232473720.0794,26665822.826399997,26383949.7885,29310753.0242,34459597.763,35776342.80759999,63443440.876399994,47737737.6431,65486943.4183,27755684.6886,110004998.5248,29226093.4477
114,11290590,257025762.9324,31376339.76,26131479.814499997,33572244.7338,42938822.0043,39124121.6079,56185163.2141,40368127.5113,66741458.954,29317245.456,128947545.5908,32019512.9316
115,11290600,442774328.6473,49313820.1322,162603112.85029998,58271418.498900004,45032238.9042,46489406.475099996,69400453.2223,51320123.640200004,172663945.9006,55405240.1652,157807167.9328,56897974.6487
116,11290610,277969526.1434,20091828.6884,49082978.8071,43255642.437,40029534.9027,43586017.391399994,63733409.7228,45208271.4617,84666715.3506,33777179.6465,124471299.5376,35054331.6087
117,11290620,249602143.1283,28052143.7991,28279687.782300003,33236617.5231,43119710.0423,36820392.1882,56723667.853,42175256.8119,72155411.1088,32974892.2542,114813585.7037,29658254.0616
118,11290630,350349425.8926,31493082.1998,46887655.6495,49393933.6569,53749205.018999994,52249425.7949,87164531.0909,64242662.2598,99968806.2185,43165653.3972,163651974.8181,43562991.4588
119,11290640,273936640.5977,28636048.8733,77492115.8895,31940584.6797,31381943.1854,33281925.175499998,57279163.076400004,42044807.2119,93474752.1523,32310162.7242,112897465.6299,35254260.0913
120,11290650,324888753.448,30878541.141799998,43758357.7078,41971829.159600005,51020237.6217,45189723.7342,88414775.5004,65820947.102,93940038.2107,38899205.1257,151778688.3721,40270821.7395
121,11290660,615371027.875,93538138.93810001,55196809.5873,70490456.65,116378132.3679,78273632.0925,113332712.15400001,84818835.93869999,177442471.8718,76139012.7735,286431948.8013,75357594.4284
122,11290685,308721673.1869,31154992.330900002,35414960.6118,43497311.9806,53942605.449599996,47065298.833399996,73432674.2521,54482071.7297,101922363.5533,41628267.7741,128499671.6808,36671370.1787
123,11290705,669830270.0411,69565560.8397,112199487.6022,89506927.88260001,99549987.51300001,97934958.9557,151555650.303,111828501.5614,202044074.4091,80852992.8682,302982149.3759,83951053.3879
124,11290715,418053940.2219,49360591.9152,48851592.486,56644180.5088,67003697.5439,60423072.298,93204064.15869999,68550825.67770001,130006571.4465,51338461.5072,185386104.5065,51322802.7617
125,11290725,406928761.9338,36377922.275299996,70927317.6169,59696135.5018,58729014.9331,59947338.9428,91980071.1403,67508603.8125,136534263.4832,53385976.0541,167014215.1344,49994307.2621
126,11290760,353376038.4901,35713388.3115,43809005.0975,49115028.9256,54738659.1267,56623489.972,87242874.1719,62513345.7774,100458557.7148,42205975.5772,166776549.3216,43934955.8765
127,11290770,210586621.4367,16582267.0797,28636417.9797,28069918.0818,30698668.894199997,33992411.760299996,60975436.1991,45218982.809599996,65770159.123,25465723.0549,92768422.8144,26582316.4444
128,11290780,125817299.09989999,11956548.1187,17326450.8499,18669591.3422,20299149.4757,18502647.715800002,30482959.0541,21820357.413,37320993.4969,15076624.465499999,57905613.5359,15514067.6016
129,11290810,489654320.8638,39492825.4123,71093593.0971,66422510.90180001,73360536.42590001,75067507.5083,130551894.2809,96145413.2057,149466294.2371,61955744.5406,217836049.5644,60396232.5217
130,11305534,412648330.1977,39203879.0827,47296029.732700005,51924496.1154,61798943.6323,65143638.1533,118275172.5272,89532763.562,120296833.4622,50741179.6285,190782599.0535,50827718.0535
131,11305535,395187289.2868,27019865.1804,67609503.4892,50857865.7616,54114390.6971,67355585.7899,113212876.2681,83562978.3628,132112463.2728,50583912.6595,163391447.3506,49099466.0039
132,11305545,613401192.121,51676762.4872,83622345.6265,81547572.3286,93233354.6558,99823795.0508,165885428.144,122885361.20179999,199650939.4602,80319336.4368,259810611.4575,73620304.7665
133,11305555,470367743.1678,41340990.735,52165527.7829,57965634.4646,72790639.8232,79425949.51210001,137153969.953,102998985.04010001,148730843.0329,58826927.5594,204347821.5863,58462150.9892
134,11305575,397469479.05,53173210.684099995,33702475.675,46154924.0174,74111886.2401,55704959.0117,87330500.5432,66104511.641,112678412.1447,47187277.0363,188592964.1149,49010825.7541
135,11305590,315808634.8967,19911323.259800002,55156852.564899996,45686248.3919,49708078.959,50626166.7209,82129601.0636,61283122.3977,101840283.7336,40614368.8045,135372724.5999,37981257.7587
136,11305600,237618759.5923,19374063.030100003,29204518.9437,27841311.8894,34569114.9794,37260593.842999995,74252283.46040002,56556606.5009,69705541.5339,26413352.9195,111203964.8701,30295900.2688
137,11305606,270609542.7018,23457140.413999997,27646400.6569,29727581.7368,41274162.0669,42441504.6147,85941843.5138,66505861.3581,77963195.1477,32589030.8641,127332904.1838,32724412.5062
138,11305610,320601608.7513,25303485.5394,45979622.7605,39758640.0491,43752012.559999995,51950366.575100005,94961156.02180001,70603098.4041,96195977.4396,36798735.1673,146662411.305,40944484.8394
139,11305620,333052406.8348,25946911.8259,40954015.6259,40093274.0149,49234129.438099995,54105510.49609999,100944755.27530001,75898381.7658,100737354.0644,43257992.2964,150018372.622,39038687.852
140,11305630,486053820.8355,28383858.867399998,94623776.40900001,71059470.61720002,73484705.65990001,77774604.6853,120751639.9958,87478184.2176,160459377.5503,67699600.7088,200106731.273,57788111.3034
141,11305645,329484399.2293,24948998.8976,43732951.1516,42415391.6381,46928779.0996,52334280.2884,99132851.493,75365294.7973,104769466.9755,38704426.6476,144880628.411,41129877.195199996
142,11305660,505104152.8958,38263514.7541,63742801.8916,63795462.010800004,72458757.776,80260199.0053,149677109.179,113113916.6682,151045220.7658,59184187.3546,231501530.5041,63373214.2713
143,11320511,391237342.0117,35846541.4576,48333814.2598,54648024.9889,61689283.1702,61806063.4439,103921916.0957,75374468.712,122765757.4084,48760030.695,171249071.6884,48462482.2199
144,11320512,507482811.4581,41255642.1294,67449625.62539999,74583010.0788,76627863.37349999,79114812.9771,132312426.9819,95515406.9775,145638159.5758,61919016.3704,238695648.5951,61229986.9168
145,11320513,189707767.95069999,16050217.6614,21821735.833800003,20801657.396700002,29577881.7074,33045302.0078,54024146.397599995,39551026.0727,54139885.8036,22606381.633,90074294.0319,22887206.4822
146,11320514,514795489.7556,54408043.565500006,59054262.366500005,66691675.7368,80187450.7191,87748791.2292,131872551.83680001,94458265.0887,163826761.074,62362820.7059,221099664.3923,67506243.5834
147,11320515,355050831.4061,32834347.9097,45287709.4662,49691377.7481,52128319.868,55625795.574999996,91688508.30000001,64946183.974,115733627.5163,49410745.0674,146981424.5057,42925034.3167
148,11320521,319306947.0388,19951128.510799997,33952252.8864,35812040.809,42440076.463,54546931.581,114470492.4054,86788420.2226,108579484.5683,38731921.1707,131723290.7162,40272250.5836
