정류장_ID,위도,경도,버스도착정보안내기_설치_여부,구이름,행정동
104900046,127.099649,37.540465,미설치  ,광진구,광장동
104900045,127.081433,37.562446,미설치  ,광진구,중곡1동
104900044,127.093137,37.554883,미설치  ,광진구,중곡4동
104900043,127.086654,37.554581,미설치  ,광진구,중곡2동
104900042,127.07663,37.536822,미설치  ,광진구,자양3동
104900041,127.084058,37.561164,미설치  ,광진구,중곡2동
104900040,127.094118,37.554229,미설치  ,광진구,구의2동
104900039,127.080082,37.557875,미설치  ,광진구,중곡2동
104900038,127.094859,37.536393,미설치  ,광진구,구의3동
104900037,127.075996,37.534691,미설치  ,광진구,자양3동
104900036,127.093297,37.55321,미설치  ,광진구,구의2동
104900035,127.092194,37.551819,미설치  ,광진구,구의2동
104900034,127.091205,37.550807,미설치  ,광진구,구의2동
104900033,127.087075,37.559531,미설치  ,광진구,중곡2동
104900032,127.089723,37.54029,미설치  ,광진구,구의3동
104900031,127.064341,37.542399,미설치  ,광진구,화양동
104900030,127.090059,37.549485,미설치  ,광진구,구의2동
104900029,127.088669,37.558736,미설치  ,광진구,중곡4동
104900028,127.06524,37.543983,미설치  ,광진구,화양동
104900027,127.088099,37.54773,미설치  ,광진구,구의2동
104900026,127.091668,37.558517,미설치  ,광진구,중곡4동
104900025,127.0906,37.544049,미설치  ,광진구,구의3동
104900024,127.065985,37.545294,미설치  ,광진구,화양동
104900023,127.093003,37.558759,미설치  ,광진구,중곡4동
104900022,127.066494,37.546197,미설치  ,광진구,화양동
104900021,127.095196,37.560241,미설치  ,광진구,중곡4동
104900020,127.102402,37.54679,미설치  ,광진구,광장동
104900019,127.084837,37.536654,미설치  ,광진구,자양2동
104900018,127.105227,37.547539,미설치  ,광진구,광장동
104900017,127.107588,37.550004,미설치  ,광진구,광장동
104900016,127.087046,37.53307,미설치  ,광진구,자양2동
104900015,127.106475,37.54809,미설치  ,광진구,광장동
104900014,127.08518,37.537009,미설치  ,광진구,구의1동
104900013,127.105132,37.54763,미설치  ,광진구,광장동
104900012,127.102489,37.546948,미설치  ,광진구,광장동
104900011,127.097966,37.545443,미설치  ,광진구,광장동
104900010,127.096794,37.54239,미설치  ,광진구,광장동
104900009,127.088351,37.547585,미설치  ,광진구,구의2동
104900008,127.093844,37.543284,미설치  ,광진구,광장동
104900007,127.076276,37.534635,미설치  ,광진구,자양1동
104900006,127.090464,37.54413,미설치  ,광진구,구의1동
104900005,127.076907,37.536765,미설치  ,광진구,자양1동
104900004,127.09231,37.551774,미설치  ,광진구,구의2동
104900003,127.093392,37.553142,미설치  ,광진구,구의2동
104900002,127.089565,37.540319,미설치  ,광진구,구의1동
104900001,127.088106,37.557588,미설치  ,광진구,중곡4동
104000307,127.107798,37.546867,미설치  ,광진구,광장동
104000306,127.106392,37.547557,미설치  ,광진구,광장동
104000305,127.107723,37.547735,미설치  ,광진구,광장동
104000304,127.07099,37.540191,미설치  ,광진구,화양동
104000303,127.09216,37.539357,설치   ,광진구,구의3동
104000302,127.092632,37.538897,설치   ,광진구,구의3동
104000301,127.067564,37.541115,미설치  ,광진구,화양동
104000300,127.066791,37.531082,미설치  ,광진구,자양3동
104000299,127.084866,37.554827,설치   ,광진구,능동
104000298,127.103282,37.545508,설치   ,광진구,광장동
104000297,127.103268,37.545177,설치   ,광진구,광장동
104000296,127.093499,37.548918,설치   ,광진구,구의2동
104000295,127.092614,37.548958,설치   ,광진구,구의2동
104000294,127.095631,37.560961,미설치  ,광진구,중곡4동
104000293,127.068684,37.548329,설치   ,광진구,군자동
104000291,127.084408,37.535282,설치   ,광진구,자양2동
104000290,127.079252,37.545262,설치   ,광진구,화양동
104000289,127.093474,37.534729,미설치  ,광진구,구의3동
104000288,127.092712,37.534054,미설치  ,광진구,구의3동
104000287,127.089052,37.552481,미설치  ,광진구,능동
104000282,127.110386,37.554104,미설치  ,광진구,광장동
104000281,127.110266,37.554242,미설치  ,광진구,광장동
104000280,127.093535,37.535975,설치   ,광진구,구의3동
104000279,127.094195,37.536672,미설치  ,광진구,구의3동
104000277,127.093311,37.536405,미설치  ,광진구,구의3동
104000276,127.093535,37.535975,미설치  ,광진구,구의3동
104000275,127.082525,37.562964,설치   ,광진구,중곡1동
104000274,127.083395,37.564527,설치   ,광진구,중곡3동
104000273,127.084325,37.566229,설치   ,광진구,중곡3동
104000272,127.0856,37.568578,설치   ,광진구,중곡3동
104000271,127.106715,37.547896,설치   ,광진구,광장동
104000269,127.105375,37.545951,미설치  ,광진구,광장동
104000262,127.07906,37.555912,미설치  ,광진구,능동
104000261,127.078861,37.556364,미설치  ,광진구,군자동
104000260,127.076031,37.549855,미설치  ,광진구,능동
104000259,127.075566,37.549862,미설치  ,광진구,군자동
104000258,127.071901,37.54228,미설치  ,광진구,화양동
104000257,127.072093,37.54338,미설치  ,광진구,화양동
104000256,127.070479,37.539227,미설치  ,광진구,자양3동
104000255,127.070117,37.539197,미설치  ,광진구,자양4동
104000251,127.078066,37.563788,설치   ,광진구,중곡1동
104000248,127.081375,37.571462,미설치  ,광진구,중곡3동
104000238,127.061227,37.536746,미설치  ,광진구,자양4동
104000237,127.06754,37.53535,미설치  ,광진구,자양4동
104000236,127.067986,37.535533,미설치  ,광진구,자양4동
104000183,127.0935,37.536026,설치   ,광진구,구의3동
104000171,127.066811,37.532116,미설치  ,광진구,자양4동
104000170,127.071473,37.542108,설치   ,광진구,화양동
